operation,solution
reverse_digits(1930)+isqrt(3726419),2321
(221+(4255*1443))*(4548-3508),6385793440
((3452+(113*9505))*(8063-3045))-9883,5406970423
((959+317)*527)+(3564*936),4008356
((3198-439)*423)/89,13113
floor(12!/1000),479001
994*(4077+11),4063472
(8655+37)*(1756-993),6631996
phi(2730)*sigma(992),1161216
(683795*3348)-(7452*6),2289300948
((261180*35)/225)*5298+5,215247149
"gcd(33120,50416)",368
152331*(3643+543),637657566
91*7982+43,726405
((7595+1520)*31)+(3004*6694),20391341
6^5+8^7,2104928
(5974+(221*755))*(693-515),30763562
(9047*92)/92,9047
"gcd(145,562)*lcm(145,562)",81490
((685105-250454)*95)/5,8258369
prime_count(36630),3883
((1162+64)*51)-35681,26845
(290*9)+(47*1878),90876
"C(17,4)",2380
"max(93616,55912,13632)-min(93616,10546)+42",83112
(9432*7429)+(1372*348),70547784
((6624-4662)*90)/5,35316
64779/39+2,1663
(3^8)%897,282
nth_prime(89),461
floor(9148189/227)+170,40470
8912*(6253+30),55994096
(4856+8694)*5902,79972100
"C(31,3)*19",85405
"gcd(15750,35100,3600)",450
(2718*78)/26,8154
(2045*25)+(84*367528),30923477
fib(32),2178309
(28658*16)/23,19936
(2434*356)-(976*582),298472
804*(8862+814),7779504
"C(17,3)+P(17,2)",952
digit_sum(62992977)^2+digit_sum(62992977),2652
"comb(18,7)",31824
((62*6673)+78)/2,206902
(9460+(7234*10))*(4174-3321),69775400
(4390*421504)+(733736*9028)+(5*52),8474571428
"gcd(64269,58479)",579
digit_product(828621),1536
2^8+2^8,512
nth_prime(938),7369
"C(32,7)*14",47121984
(36^7)%505,286
(3648+(48*318546))*(602-495),1636442592
"C(25,8)+fib(25)",1156600
((6234+(46*1150))*(7577-4226))-75958,198082076
"lcm(23,363)",8349
"C(16,5)+fib(27)",200786
(1455+(4534*289012))*(6730-2242),5880993801144
(((40*56)+(2580*441439))/2)-1809,569455621
(4639*66)/66,4639
phi(3779),3778
(42140*61)/70,36722
(3765*120776)+(9971*6850),523022990
7!*44+6945,228705
(50*8312)+(85*8)+(2692*95),672020
fib(31),1346269
(5247*7605)+(7784*884184),6922391691
"gcd(500,686)*lcm(500,686)",343000
phi(2349)*sigma(589),967680
((19*69)/57)*95+11,2196
(8048+78)*8979,72963354
(61*5850)+(7801*1281),10349931
8*(49+18),536
digit_product(349795345),2041200
(3798+(14*584574))*(7521-6707)+3585,6664900461
nth_prime(668),4993
(4631+97)*(7043-5169),8860272
(2551+(4*750200))*(7810-7534)+71,828924947
(((8413*5371)+(9684*10))/7)-7436,6461573
(254*193)/127,386
(52*8109)+(63*7044),865440
(6972+(5373*6756))*(8137-3262)+36,176996430036
11!*40+6035,1596678035
"lcm(298,123)",36654
"C(19,6)+fib(20)",33897
"comb(17,3)",680
phi(4797),2880
"lcm(138,282)",6486
nth_prime(952),7517
((1680*286)/22)*72+45,1572525
sigma(2540),5376
(7671+(1614*5662))*(4521-1722)+54,25600043115
"C(26,7)+fib(24)",704168
(8547*5905)+(5777*21),50591352
"C(28,10)",13123110
7111*3+15,21348
"C(27,3)+fib(15)",3535
8185+(1383*6387)-(72981/51),8839975
"C(29,7)-429",1560351
((1490+11)*57)+(18*94),87249
digit_sum(964798924)^2+digit_sum(964798924),3422
89*((690+625)*97)-7499,11344896
10!*19+7512,68954712
(5354+41)*(6014-3913),11334895
nth_prime(169)*93+prime_count(2252),94172
(7445+(349351*82))*(1099-938)+3829,4613334376
8230*(9385+4247),112191360
(7440+(53*33))*(8487-8155),3050748
(4036*5334)+(909756*5247),4795017756
65*(3070+2421),356915
"gcd(25608,16490)",194
fib(17)+573,2170
(512*212)+(14*613863),8702626
(9990*186566)-(5906*3642),1842284688
((96*74)/192)*57+55,2164
1065*(4226+93),4599735
(635344*61)-(2332*5729),25395956
(5542*758)+(3181*402),5479598
((4959+(3*818330))*(3786-27))-73510,9246874781
"C(19,4)",3876
phi(322),132
sigma(277),278
6036*896-9592,5398664
sigma(2025),3751
fib(15)+461,1071
abs(4754-712)*10+floor(4754/9),40948
phi(1744),864
4232*(9855+38),41867176
digit_sum(745076140)^2+digit_sum(745076140),1190
(5211*826)+(1612*7611),16573218
prime_count(20906),2352
((5381+6966)*46)-27109,540853
sigma(1158),2328
"C(33,4)+223",41143
13!/(7!*6!),1716
(6336*965715)+(5244*35),6118953780
(8663+(245*137))*(829-233),25167888
fib(29)-296,513933
"C(19,6)-442",26690
(314651*495745)+(8967*15),155986794500
((394*474)+856)/62,3026
floor(3605329/822)+460,4846
"C(39,8)",61523748
6015+(62*5735)-(132117/47),358774
prime_count(39697),4172
(609+3179)*912496,3456534848
((1780+1774)*69)-68491,176735
(337112*8262)-(8136*1435),2773544184
((672260*5736)-(8944+5))/21,183622591
((4340-114)*186)/93,8452
(3256+(219*837))*(619-337),52609638
((7722+921)*7978)+(73*37),68956555
"C(29,3)+fib(12)",3798
floor(5736872/311)+131,18577
"C(52,15)%nth_prime(32)",112
47*607-5607,22922
((6616*27)+95)/29,6163
(995104*8467)+(7292*3594)+(620496*755145),477016204936
"gcd(531,535)*lcm(531,535)",284085
nth_prime(981)*96+prime_count(279),741851
(3^7)%685,132
"comb(13,4)",715
digit_sum(17230721)^2+digit_sum(17230721),552
3959+(8793*39)-(26666/67),346488
(2462+(7119*7901))*(5344-748),258523533876
fib(22)+digit_sum(fib(22)),17728
(9906+(469445*5033))*(2191-679),3572442605592
nth_prime(810),6221
"C(24,10)",1961256
"C(32,4)*19",683240
"comb(31,10)",44352165
(((282900*553269)+(3738*8870))/16)-4930,9784554830
"gcd(154,147)*lcm(154,147)",22638
((8385+92)*641205)+(79*9407),5436237938
sigma(407)+phi(407),816
(6747*9458)-(89*3966),63460152
(6114*79)/3,161002
"C(21,8)+231",203721
floor(5042551/214)+424,23987
(8385+(9358*5233))*(6235-85)+80,301219613930
"comb(24,10)",1961256
(6390*9626)+(6065*48)+(1547*98),61952866
(1743+(530*632))*(175-39),45791608
2524*760+53,1918293
(95*327)+(405840*485032)+(59*69),196845422016
"lcm(61,169)",10309
4151+(286*767)-(64362/34),221620
abs(4215-9905)*48+floor(4215/3),274525
phi(1251)*sigma(1292),2086560
fib(26)-484,120909
"C(29,5)",118755
phi(1267),1080
(66*3178)-(3144*52),46260
((712585-172385)*29)/40,391645
digit_product(4618231),1152
"lcm(252,166,188)",983052
abs(3320-8139)*20+floor(3320/10),96712
(591+3365)*59,233404
(76*20)+(39*76)+(4493*8602),38653270
((9780+41)*4205)+(57*31),41299072
(7705+(60*636))*(966-24),43204830
11!*48+3793,1916010193
"comb(34,10)",131128140
9040+(2311*57)-(5552/4),139379
"C(34,8)",18156204
phi(915)*sigma(378),460800
((9901+608)*896)+(9821*182),11203486
"gcd(85085,93500)",935
95*(9696+41),925015
8!*19+6933,773013
(5926*9026)-(67*7),53487607
3222*45,144990
7^8+4^3,5764865
sigma(2626),4284
prime_count(39429),4150
(1757*9)/63,251
"C(34,4)+47",46423
(((88*79)+(5945*6600))/8)-1887,4903607
(8051+7002)*7740,116510220
1379+(21*9288)-(154327/43),192838
(8888+5946)*4335,64305390
(((1377*100773)+(7040*8892))/37)-6481,5435792
(6265+(3160*17))*(3040-841)+36,131907051
fib(35)*18,166094370
(38*6952)+(6303*8564),54243068
(2244+77)*(650-155),1148895
8!*36+3669,1455189
"P(20,3)",6840
fib(17)+11,1608
((7047+6342)*9859)+(93*5453),132509280
phi(2589),1724
nth_prime(1661),14083
"perm(14,6)",2162160
(4875*9997)-(5060*27),48598755
sigma(3891),5192
((761190*46)/30)*1749+32,2041359374
"max(67920,59356,61286)-min(67920,43474)+36",24482
((4348*113)/226)*364665+33,792781743
"lcm(198,344,35)",1191960
(80*9)+(742*858908),637310456
((9926*9723)-(8758+9910))/17,5675990
sqrt(19891600),4460
73*(22+91),8249
((7185+44)*2357)+(92*10),17039673
"lcm(317,371)",117607
(8264*6423)+(49*5032),53326240
(302028*39)-(1720*93),11619132
"lcm(206,55)",11330
890904*((90+6618)*954132)-21089,5702068422799135
floor(6033819/804)+317,7821
(((9235*9240)+(1132*68))/8)-6527,10669520
(679*659)-(966*370),90041
((4135+61)*6456)+(5546*3925),48857426
(4791*6331)+(278*119143),63453575
floor(633731/556)+456,1595
"C(20,3)+fib(30)",833180
((3726+(51*965927))*(8226-995))-14976,356242452717
(282+78)*54,19440
13!/(3!*10!),286
"gcd(3525,59502)",141
(((490913*1917)+(63356*2))/19)-8857,49528350
((1717+7420)*2412)+(9102*1252),33434148
((3236+(6203*373))*(2668-521))-37491,4974464894
(4598*4774)-(17*79),21949509
(23026*78)/29,61932
"max(92110,46800,56728)-min(92110,65992)+16",26134
(5412*862052)+(42*227)+(95691*7),4666104795
(((28*37)+(527978*7))/178)-1375,19394
(((3714*1506)+(2977*367340))/2)-437,549581795
20376*1809,36860184
(3910+4643)*1056,9031968
(((16*6320)+(57*611882))/37)-3356,942006
"C(16,3)+fib(24)",46928
"gcd(141,614)*lcm(141,614)",86574
"perm(19,4)",93024
2^6+9^6,531505
8!*36+4385,1455905
485208/828+83,669
sigma(2453)+phi(2453),4908
"lcm(178,146)",12994
136*((1020+1043)*2111)-28647,592250401
"C(19,7)+297",50685
sigma(1391),1512
((3748*294)/147)*34+5,254869
"P(11,3)",990
"lcm(37,295)",10915
(37*8172)+(2999*696503),2089114861
(2268+(5542*3935))*(1635-20)+14,35223211384
(4820+(3101*8206))*(9185-2451),171391249484
(41*821232)-(46*3541),33507626
nth_prime(953)*90+prime_count(3321),677537
613*(5703+450),3771789
(34^10)%943,255
fib(32)-224,2178085
((3672+50)*4744)+(9436*84),18449792
139029*(43+6391),894512586
(4180*8572)+(2343*89)+(8793*58),36549481
fib(30)*24,19968960
(6674+7)*109944,734535864
abs(8933-8416)*47+floor(8933/10),25192
(7501*1156)+(31*44)+(68*44),8675512
nth_prime(697),5237
(1343+31)*(4080-51),5535846
nth_prime(846)*37+prime_count(2278),242725
13!/(6!*7!),1716
(7327+50)*(9845-7692),15882681
((2096+38)*9220)+(28*92),19678056
((6286-4513)*18)/6,5319
(1791+(841*378))*(360-10),111891150
phi(1719)*sigma(1706),2920680
(1688+(93*90))*(6571-1005),55982828
(8717+(23*1698))*(4260-1605),126832005
1341*(4509+1267),7745616
(4673+34)*(2106-953),5427171
((4505+(5809*6967))*(9650-4500))-3939,208450407261
"C(12,6)+fib(30)",832964
phi(1889)*sigma(2608),9598592
6040*(71+87),954320
(59*4513)+(5189*5732)+(509642*37),48866369
((63*569)+6861)/6,7118
phi(727),726
sigma(949)+phi(949),1900
abs(4509-9694)*26+floor(4509/8),135373
((1091+421)*826)+(6178*532),4535608
(5*63)+(3*7437),22626
((2763+7)*51)-98397,42873
(6642+9)*(9806-3510),41874696
nth_prime(152)*63+prime_count(802),55642
5131*(79+6871),35660450
(2223+(440*762))*(990-694),99900888
(3269*343)+(7223*886),7520845
(271*21)+(38*8304)+(7*28),321439
(6885+(34*4370))*(4081-461),562783300
(124*5884)+(8313*72)+(55*29),1329747
((166840*8037)+68)/14,95778082
prime_count(38881),4096
((7725+(995*4107))*(1683-686))-65331,4081842099
217522*3715-7886,808086344
phi(2684)*sigma(2547),4430400
(4764*5294)+(2378*906289)+(7585*62),2180846128
(468870*73)+(22*7070)+(34*69),34385396
1307+(6440*48)-(54944/16),306993
(391+3)*(3525-506),1189486
7662*59-58,452000
sigma(1189)+phi(1189),2380
(132*176)-(32*466),8320
digit_sum(7^11)*phi(92),2156
7667*574+9549,4410407
7!*50+7795,259795
14!,87178291200
nth_prime(1788),15307
4801*319+6480,1537999
reverse_digits(596884536761),167635488695
digit_sum(6^12)*phi(115),3960
(797069*58620)-(7838*6258),46675134576
((4155-4138)*330)/3,1870
((552+84)*28)+(615255*4042),2486878518
2280978/842+21,2730
(24^10)%347,225
(5565*721039)-(2084*16),4012548691
"C(17,5)*10",61880
56*((94+9)*773712)-99,4462770717
"C(66,13)%nth_prime(86)",313
"gcd(5301,37107)",5301
((9609+(24*79541))*(5947-4145))-93030,3457211556
sigma(1249),1250
47*3319+19,156012
8388*13-5205,103839
nth_prime(1085)*93+prime_count(3642),810260
(21^10)%675,351
sigma(2801)+phi(2801),5602
(7496+271)*(843-172),5211657
7^9+6^8,42033223
((141*653)-(170+567))/28,3262
10!*25+6133,90726133
5177*(9515+54),49538713
(137+(9766*8962))*(4651-2076),225371799675
(219874*1962)-(7445*3026),408864218
((8038+16)*49)-51725,342921
(1347+(55*56))*(172-90),363014
((568+678)*368)+(3976*519),2522072
"lcm(32,223,164)",292576
((252+9329)*7358)-73495,70423503
"C(23,6)",100947
(3211*30)+(59*64),100106
(8598*467)+(7921*396),7151982
8^8+4^5,16778240
sigma(2785),3348
(555*267)+(2032*484),1131673
"lcm(370,192)",35520
8498+(9612*4368)-(12400/16),41992939
"C(20,7)*14",1085280
8545+(893772*3789)-(169169/77),3386508456
isqrt(7254512),2693
1277*28-7923,27833
((3222+6271)*70)+(260641*796764),207670030234
(7554*65)+(7312*640),5170690
"perm(9,3)",504
((4250*641064)+31)/121,22516711
fib(24),46368
(4656*10)+(430236*9882)+(1058*9253),4261428386
"C(24,6)+fib(12)",134740
2203+(9799*9315)-(110548/58),91277982
"lcm(92,261)",24012
((161099-126657)*14)/34,14182
abs(3913-8220)*13+floor(3913/16),56235
"gcd(3500,18900)",700
abs(7330-4362)*8+floor(7330/9),24558
fib(27)+digit_sum(fib(27)),196447
reverse_digits(287246319487),784913642782
prime_count(28817),3139
"C(25,7)*13",6249100
((12*8144)+46)/166,589
(189778*245940)-(6352*2551),46657797368
(7304+19)*(2543-986),11401911
1099*188,206612
digit_sum(838807040)^2+digit_sum(838807040),1482
"gcd(368,593)*lcm(368,593)",218224
(8635*8497)+(6357*704)+(841*75),77909998
(7225+9668)*147435,2490619455
9485*((79+2735)*5832)-95677,155660591603
((3202+65)*163)-428,532093
sigma(2815)+phi(2815),5632
5657+(6985*263004)-(28860/26),1837087487
fib(26)*7,849751
phi(1024)*sigma(2654),2039808
(5142+(3387*159504))*(9652-2933)+50,3629907431660
10!/(6!*4!),210
(6331*7067)-(5793*48),44463113
7^8+7^7,6588344
"lcm(313,40,112)",175280
abs(5538-4063)*9+floor(5538/10),13828
((6105+83)*7060)+(34*47),43688878
reverse_digits(533017800414),414008710335
"C(16,7)+fib(16)",12427
6^7+9^6,811377
(3253*7500)+(61*8953),24943633
7!*29+8586,154746
sigma(3960)+phi(3960),15000
((563*733)-(749+22))/94,4382
((1413*15)/3)*113058+52,798754822
2^4+8^3,528
(1955+31)*(2633-2337),587856
((6090+912)*973)+(4434*713),9974388
abs(4193-3204)*10+floor(4193/7),10489
"C(29,5)+fib(22)",136466
(3643+(836*3589))*(4329-2506),5476377681
"lcm(39,332,41)",530868
(22*181693)+(97*3733)+(5967*7690),50245577
((4702+169)*429)+(8823*408),5689443
(74*93)-(87*57),1923
reverse_digits(7537)+isqrt(56809458),14894
6250+(2364*294636)-(182088/54),696522382
((9837+16)*8317)+(219*353),82024708
(2207*52)+(3025*2400)+(79*28),7376976
"C(17,6)",12376
prime_count(3636),508
((8263+76)*25)+(874*8616),7738859
(3660+(65*1311))*(1500-137),121136625
fib(20)+digit_sum(fib(20)),6789
(32*5271)+(2*8418)+(2699*74),385234
129706*(6376+3174),1238692300
5343+(8664*1043)-(202768/76),9039227
phi(2273)*sigma(2571),7797504
(9*501507)+(4507*6728),34836659
8!*22+8563,895603
8490*(6494+15),55261410
((8054+9892)*61)+(249550*8149),2034677656
sigma(3599),3720
"C(32,5)+215",201591
321*(4758+705),1753623
(227*4171)/97,9761
2971+(9342*3234)-(215050/85),30212469
"lcm(238,99)+gcd(238,99)",23563
((6031+(38*820414))*(1148-596))-21802,17212311374
(7574+84)*(9169-5989),24352440
"C(23,3)+fib(25)",76796
"P(20,4)",116280
"lcm(334,116,134)",1297924
(5710+(18*67))*(5941-1278),32249308
((1260+(8*27))*(8487-2469))-38322,8844246
(912012*46)-(6344*707),37467344
"gcd(64779,5434)",143
((2594+63)*93)+(1912*1977),4027125
(6401+58)*(2365-719),10631514
(41^8)%919,245
((4680*6)+11)/7,4013
(6686*86)/86,6686
((528+13)*973)+(2166*171),896779
(((103515*2886)+(2592*3664))/3)-387,102746739
((7346*58)-(3911+93))/24,17586
((1213+(46*62))*(3289-1812))-65134,5938871
nth_prime(407)*94+prime_count(1509),263157
(7248+(9022*5392))*(3083-2387)+31,33863094943
16357*(4078+8463),205133137
"gcd(135,185)*lcm(135,185)",24975
((22*71)+8)/10,157
((6316-2806)*8)/27,1040
(3413*494)+(6712*337),3947966
"C(32,3)-472",4488
digit_sum(802261872)^2+digit_sum(802261872),1332
"C(21,7)*5",581400
((6439+46)*21)-16845,119340
"max(7387,62287,15803)-min(7387,50249)+46",54946
(27^7)%335,313
1151*((8+3058)*28)-89814,98721234
(3129+32)*9293,29375173
"P(19,3)",5814
abs(9681-3206)*16+floor(9681/10),104568
(3574+(4612*49))*(2737-452),524549170
16!,20922789888000
(1279*48)/4,15348
phi(2895)*sigma(2513),4423680
(9491+12)*(6923-2767),39494468
68*1262+22,85838
6548*66-1935,430233
phi(392)*sigma(1979),332640
752*(6978+359),5517424
((8775+(66*687073))*(2936-2029))-16097,41137506754
8652*(3+85),761376
(2741+(163624*4508))*(5096-3189)+59,1406640830890
11!,39916800
((8762-6449)*12)/9,3084
fib(39),63245986
5318+(819*463)-(116844/52),382268
(23644*29)/46,14906
(31*4)+(5284*313029),1654045360
floor(8053683/556)+273,14758
(3105*3201)+(8204*470546)+(89*71),3870304808
((4920*4113)+85)/19,1065055
((3762+(3255*631134))*(4203-827))-57863,6935468432569
(8219*562)-(42*625),4592828
"C(32,5)-199",201177
sqrt(81595089),9033
"C(27,3)+fib(23)",31582
digit_product(1562944972),1088640
896*(7283+614),7075712
(((8769*1466)+(9002*1045))/4)-5335,5560276
(70*61)+(63*95)+(7017*3138),22029601
((8522*145)/29)*929+79,39584769
(3*5)+(2439*4145),10109670
isqrt(7592410),2755
digit_sum(530059544)^2+digit_sum(530059544),1260
"C(23,7)+fib(25)",320182
((9350+25)*659974)-57149,6187199101
fib(29)+71,514300
8^5+3^7,34955
nth_prime(1038),8273
(7873*630)-(864*375),4635990
95616/384+91,340
((2525+26)*4621)-40681,11747490
((4126*5364)-(8338+33))/23,961891
((4344+(5971*1524))*(8476-1281))-66707,65504278153
909052/241+74,3846
"C(16,6)-76",7932
(8918*7418)+(317302*6570),2150827864
9^7+2^8,4783225
"gcd(236,68)*lcm(236,68)",16048
sigma(3673),3674
((5210+9549)*5585)+(3588*4559),98786707
12!*42+1689,20118068889
((329+53)*4783)+(67*7865),2354061
(2918*3671)-(4696*1035),5851618
(22572*34)/18,42636
"C(13,5)+fib(23)",29944
(8516*737)-(751*322),6034470
12^8+6^8,431661312
((3551+561)*829)+(5244*893),8091740
(((90*543792)+(914855*6358))/38)-3389,154354226
phi(1644)*sigma(662),541824
prime_count(32554),3492
7328+(3717*9564)-(280778/58),35551875
(5388+(781110*64))*(6975-2806),208435108332
floor(14!/1000),87178291
nth_prime(1147)*86+prime_count(2920),796524
prime_count(15979),1861
"C(37,6)",2324784
"lcm(178,205,143)",5218070
"gcd(793,449)*lcm(793,449)",356057
(206*228)/6,7828
(12^10)%355,174
nth_prime(1798),15383
11^7+4^8,19552707
"C(31,4)+65",31530
21*4875+87,102462
(13*30)+(34*3101),105824
(75*90)+(3649*33)+(5778*75),560517
32*((8423+7706)*4404)-90077,2272937635
((4765+80)*7534)+(93*5951),37055673
"C(31,5)-127",169784
(8578+19)*(1729-16),14726661
(76*9047)+(1857*503526)+(1979*46),935826388
5^8+5^5,393750
"C(15,6)*4",20020
"gcd(18690,24920)",6230
((3709+146)*261)-549,1005606
abs(6065-7953)*13+floor(6065/14),24977
((1733+3215)*3686)+(2295*1769),22298183
(((962*513583)+(2555*527655))/7)-9555,263165498
digit_product(36172876),84672
"C(28,8)+386",3108491
sigma(2464),6048
"comb(17,8)",24310
(((6275*1925)+(4180*85))/55)-5844,220241
(((50*8872)+(4979*8316))/2)-7752,20916730
(728*474)-(628*424),78800
"gcd(30514,34529)",803
(7907+(5822*1483))*(7023-1080)+8948,51359016767
6072*7454+30,45260718
floor(7144768/619)+480,12022
"C(34,7)+148",5379764
2^4+5^6,15641
(9334*54)/36,14001
"comb(33,10)",92561040
2122+(50540*27)-(30336/48),1366070
"C(16,6)+fib(14)",8385
(841144*9)+(2407*11),7596773
phi(1623)*sigma(1614),3499200
(60*976874)-(284053*24),51795168
51*84+52,4336
((5174+(5014*4423))*(7207-4500))-55835,60046878037
"lcm(297,228,128)",722304
(7848+(5769*6713))*(7082-3050),156180104640
abs(2482-2384)*50+floor(2482/7),5254
((7882+(1154*8656))*(5086-4589))-44361,4968417921
((9100+4912)*1740)-25745,24355135
"C(17,4)+367",2747
digit_sum(62656387)^2+digit_sum(62656387),1892
(1839+3)*(9166-444),16065924
"max(66844,45734,81198)-min(66844,93132)+30",14384
(2640+5)*26,68770
((1855*33)/265)*3+87,780
(9065+71)*2,18272
(3448*9167)-(90*7902),30896636
digit_product(8974774),395136
"lcm(135,222,189)",69930
5506+(60*3444)-(85904/28),209078
(15390*31)/19,25110
(3196*901860)-(3549*3639),2869429749
((6800+(4800*5743))*(9787-5061))-42881,130310900319
((3990+(845*310900))*(4801-3869))-1868,244849902812
3700+(46*7025)-(125392/34),323162
((1950+(554*4597))*(5092-3299))-8023,4569789561
(((46*5878)+(6110*983301))/2)-4616,3004115133
"gcd(570,626)*lcm(570,626)",356820
phi(1941),1292
"C(20,8)*18",2267460
phi(2595),1376
sigma(4345),5760
"C(16,3)+204",764
"gcd(728,384)*lcm(728,384)",279552
sigma(4650),11904
432882*(1197+6061),3141857556
((84*3193)-(6788+2993))/113,2287
(8625*7647)+(19*2094)+(2083*98),66199295
"gcd(437,771)*lcm(437,771)",336927
((1216-78)*1139)/17,76246
((5524+95)*50)+(2517*8375),21360825
(2764+(71*257154))*(6410-3444),54161230268
"C(24,7)+423",346527
reverse_digits(4619)+isqrt(21335618),13783
((2700+(4672*6059))*(265-230))-25370,990836810
(9480+88)*(6800-510),60182720
"C(29,6)-104",474916
"C(12,3)+fib(17)",1817
((1865+483)*5345)-90824,12459236
((8348+(545432*86))*(5714-3881))-79060,85996032440
"C(18,3)*2",1632
"C(30,4)*5",137025
(472709*97)/97,472709
"perm(17,5)",742560
(5810+37)*(6189-692),32140959
((4334*823837)+87)/61,58532945
(1396*581)+(8909*532),5550664
phi(965)*sigma(2939),2257920
9!*19+11,6894731
((7307+8971)*7500)+(52*2332),122206264
(((2943*24)+(3345*5658))/63)-2241,299293
"lcm(62,200,45)",55800
reverse_digits(783506028810),18820605387
"C(32,3)",4960
(8213+(72*758))*(356-54),18962278
5^6+4^8,81161
sigma(2294)+phi(2294),4728
(564940*5238)-(4*775902),2956052112
sqrt(334707025),18295
((200+92)*1885)+(613*19),562067
707978/601+18,1196
9338*4103-1466,38312348
((7641+52)*7)+(6130*168555),1033296001
((2822+9092)*7200)-18966,85761834
(6117+(3586*44))*(1551-500)+7189,172267140
(52716*40)/46,45840
floor(9!/1000),362
(6322*7)/14,3161
(439854*7106)+(78*1741),3125738322
((396+(1923*7732))*(5365-4459))-72237,13471270755
"perm(15,3)",2730
(4953*5673)-(424723*20),19603909
((1541+(564008*94))*(3310-1868))-47945,76452330561
743*144,106992
"perm(18,6)",13366080
"C(19,7)+fib(20)",57153
floor(9609585/747)+190,13054
(979972*210025)+(30*1997),205818679210
((4964+(17*9649))*(9871-8606))-55478,213725727
(6047*45)/5,54423
digit_sum(3^8)*phi(188),1656
fib(21)-24,10922
abs(8547-1327)*14+floor(8547/3),103929
phi(976)*sigma(433),208320
nth_prime(405)*73+prime_count(4734),204236
"gcd(2040,680)",680
phi(2312)*sigma(1458),3567552
(((553255*3248)+(72854*3787))/77)-2228,26918166
(57*5745)+(97*1621),484702
(1940*647)-(4501*49),1034631
"gcd(793,525)*lcm(793,525)",416325
(78526*33)/71,36498
(1407+(6273*623726))*(7152-4351),10959289528605
((8214+(6384*2969))*(9873-6031))-33649,72853161371
((335423*8426)-(462+2061))/5,565254335
abs(1165-1404)*13+floor(1165/10),3223
13!/(5!*8!),1287
((8841+(81*6563))*(3123-2238))-35639,478257301
(8457*2)+(17*497091),8467461
digit_sum(5^12)*phi(30),224
(2231*82646)+(3341*4789),200383275
((6748*228)/168)*52+48,476264
9107*(5452+4048),86516500
"P(16,2)",240
(5*7991)+(19*984988),18754727
(6334*40)/5,50672
"C(30,5)*2",285012
"gcd(224,233)*lcm(224,233)",52192
(851+(23*2699))*(2905-693)+4878,139201614
floor(9780424/546)+464,18376
abs(7610-7052)*21+floor(7610/15),12225
((436911*38)/6)*9742+81,26957117507
nth_prime(1955),16943
"gcd(2652,28560)",204
(7376+(88*40))*(2298-235),22478448
"C(25,7)*6",2884200
((9599+77)*674091)-378,6522504138
abs(3887-5318)*9+floor(3887/4),13850
"C(29,5)+fib(20)",125520
88*((3762+6349)*4)-63747,3495325
prime_count(38240),4037
(1491*4425)+(47*955691),51515152
6588+(7452*4)-(313795/97),33161
phi(325)*sigma(2732),1149120
3599*84-606,301710
((524+43)*8902)+(6041*23),5186377
floor(821687/248)+444,3757
(262351*683060)+(6240*40)+(432250*2291),180192008410
(61*177654)+(8082*21),11006616
"gcd(48763,26026)",143
(1535+677)*551,1218812
(3034+(420006*9980))*(6717-945),24194278339608
nth_prime(287)*57+prime_count(3772),107286
((2468+814)*81)+(8754*688),6288594
(7041+(848083*477))*(5126-1532)+81,1453926219489
7712+(452775*40)-(93038/22),18114483
reverse_digits(825229233610),16332922528
nth_prime(1387)*97+prime_count(2923),1115631
nth_prime(1421)*38+prime_count(3508),450371
4817*(7252+9),34976237
abs(2539-6575)*3+floor(2539/2),13377
"perm(10,5)",30240
((3148+31)*1844)+(4694*8148),44108788
((2385+626)*1337)+(1732*3150),9481507
abs(6541-8161)*43+floor(6541/6),70750
"C(26,6)+158",230388
sqrt(324108009),18003
6532*(225+84),2018388
((6711+21)*251)-21133,1668599
(2884*956)+(9092*615),8348684
"C(18,4)+P(18,3)",7956
((7335*9)/9)*736546+72,5402564982
"lcm(183,163)",29829
6463+(8462*7743)-(60768/36),65526041
4^6+4^7,20480
sigma(1238),1860
((1313-5)*477)/9,69324
"gcd(5720,6490,330)",110
isqrt(4024137),2006
(5916+52)*(7235-4689),15194528
6^6+8^3,47168
(10^8)%799,356
fib(29)+280,514509
((292+2672)*15)+(6761*1838),12471178
(5064+(21*4573))*(6649-6458),19309527
((3872+8490)*561353)+(91*120125),6950377161
((4017+5)*4)+(4090*8273),33852658
nth_prime(1354)*41+prime_count(2304),458435
(7046+7964)*4284,64302840
"C(18,8)+fib(24)",90126
((73*54)/6)*1248+35,819971
(4410*9942)-(55*8442),43379910
digit_product(476277),16464
"gcd(45441,2601,15300)",153
(873*564)-(773*514),95050
reverse_digits(2150)+isqrt(4623074),2662
805*(9362+676),8080590
(7395+60)*97,723135
(8982+(3953*48))*(1641-1512)+7152,25642806
phi(3851),3850
(9587+(495*123))*(98-32),4651152
fib(31)*46,61928374
(84*8526)+(20*476),725704
(5803+(3470*55))*(8066-5181),567343905
4701*((5715+1166)*45)-99779,1455541366
digit_product(972532),3780
phi(4483),4482
2286+(494*190)-(157797/89),94373
prime_count(2918),422
isqrt(4976344),2230
reverse_digits(362879543014),410345978263
((9935+1296)*6072)+(85*10),68195482
"gcd(619,768)*lcm(619,768)",475392
(7579+88)*(8657-2258),49061133
((6860+(2*2559))*(3196-2061))-11682,13583348
phi(854)*sigma(2092),1320480
"comb(19,3)",969
(1989*8664)+(8725*78),17913246
((2149+12)*8741)+(5370*381),20935271
((9041-3029)*337)/3,675348
